Nombre Comunidad Autónoma,Nombre Provincia,Nombre municipio,Número de observaciones muestrales,Población (INE),Población declarante (IRPF),Renta imponible agregada (IRPF),Renta imponible media (por declarante),Renta imponible media (por habitante),Renta mediana,Índice de Gini ,"Índice de Atkinson 0,5",Top 1%,"Top 0,5%","Top 0,1%",Quintil 1,Quintil 2,Quintil 3,Quintil 4,Quintil 5,COD_INE_CAPITAL,LATITUD_ETRS89,LONGITUD_ETRS89,Porcentaje de Poblacion Declarante
Andalucía,Granada,Albuñol,222.0,6190.0,2049.0,30298337.61,14786.89,4894.72336187399,9106.39,0.5306176,0.24974476,11.46969,5.966913,1.193383,2.772584,8.123998,12.5486,19.69329,56.86153,18006,36.79129267,-3.20167375,0.3310177705977383
Andalucía,Granada,Alfacar,171.0,5316.0,2176.0,36536149.76,16790.51,6872.86489089541,14047.98,0.41871571,0.17074992,5.773707,3.780814,1.111039,3.310831,10.61779,16.90668,24.34066,44.82404,18011,37.23688695,-3.57046354,0.40933032355154253
Andalucía,Granada,Alhama de Granada,435.0,6016.0,2443.0,26863838.75,10996.25,4465.398728390957,8325.52,0.40870523,0.15066377,4.32622,2.705054,0.600529,3.809223,9.282581,15.802,26.0145,45.0917,18013,37.0037636,-3.98605626,0.4060837765957447
Andalucía,Granada,Alhendín,186.0,5755.0,2527.0,44518714.940000005,17617.22,7735.658547350131,14474.31,0.35806192,0.11860189,3.717102,2.018224,0.4365749,4.986468,11.89167,17.37914,25.84065,39.90206,18014,37.10823076,-3.64587295,0.4390964378801043
Andalucía,Granada,Almuñécar,867.0,27076.0,8913.0,143506163.01,16100.77,5300.124206308169,12868.8,0.48629229,0.22572326,12.55817,8.672443,2.730852,3.022093,9.459023,15.58186,19.67738,52.25965,18017,36.73441423,-3.69091622,0.3291845176540109
Andalucía,Granada,Armilla,604.0,20115.0,8047.0,150893722.85,18751.55,7501.552217250807,15051.33,0.43354098,0.17676529,7.919736,5.08644,1.358527,3.646462,10.33884,16.30658,22.87209,46.83603,18021,37.14031436,-3.62690297,0.40004971414367385
Andalucía,Granada,Atarfe,501.0,14144.0,5831.0,91070132.37,15618.27,6438.781983173078,12610.44,0.42215413,0.16814437,8.630729,5.937793,1.110394,3.980385,11.13153,15.78221,21.78215,47.32372,18022,37.22271103,-3.6887337,0.41225961538461536
Andalucía,Granada,Baza,840.0,22718.0,7996.0,124831393.08,15611.73,5494.823183378819,11801.38,0.47506188,0.20857552,11.02491,8.12118,3.827766,2.984921,8.670161,15.04077,21.82433,51.47982,18023,37.49077779,-2.77485648,0.351967602781935
Andalucía,Granada,Cenes de la Vega,298.0,6363.0,3377.0,60400481.68,17885.84,9492.453509350935,12836.72,0.45062967,0.18109391,6.865004,3.328487,0.6240913,3.962811,10.64093,14.3999,20.50363,50.49273,18047,37.15945749,-3.53735586,0.5307245010215307
Andalucía,Granada,Churriana de la Vega,512.0,10228.0,5016.0,82855291.2,16518.2,8100.830191630817,13638.38,0.38382916,0.13942003,6.190191,4.112599,1.308597,4.338565,12.11139,16.76252,24.03491,42.75261,18062,37.14885746,-3.64581291,0.49041845913179505
