COD_INE,ID_REL,COD_GEO,COD_PROV,PROVINCIA,NOMBRE_ACTUAL,POBLACION_MUNI,SUPERFICIE,PERIMETRO,COD_INE_CAPITAL,CAPITAL,POBLACION_CAPITAL,HOJA_MTN25_ETRS89,LONGITUD_ETRS89,LATITUD_ETRS89,ORIGENCOOR,ALTITUD,ORIGENALTITUD
2047000000,1020479,2460,2,Albacete,Masegoso,115,10387.0257,42914,2047000301,Masegoso,36,0815-4,-2.31511768,38.71877813,Mapa,1108,MDT5
2048000000,1020485,2470,2,Albacete,Minaya,1538,6983.1234,44098,2048000101,Minaya,1524,0741-2,-2.31961973,39.27118701,Mapa,723,MDT5
2049000000,1020498,2480,2,Albacete,Molinicos,863,14358.8298,71840,2049001101,Molinicos,430,0866-2,-2.23898151,38.46778179,Mapa,851,MDT5
2050000000,1020501,2490,2,Albacete,Montalvos,102,2477.9315,23450,2050000101,Montalvos,97,0765-1,-2.02769341,39.16721439,Mapa,709,MDT5
2051000000,1020518,2500,2,Albacete,Montealegre del Castillo,2057,17779.3485,54887,2051000101,Montealegre del Castillo,2034,0818-2,-1.32487672,38.78717469,Mapa,810,MDT5
2052000000,1020523,2510,2,Albacete,Motilleja,549,2382.44,24700,2052000101,Motilleja,548,0743-3,-1.79025762,39.17948885,Mapa,676,MDT5
2053000000,1020539,2520,2,Albacete,Munera,3572,22942.7623,58755,2053000101,Munera,3562,0764-3,-2.4830388,39.03954575,Mapa,929,MDT5
2054000000,1020544,2530,2,Albacete,Navas de Jorquera,523,4225.9722,26041,2054000101,Navas de Jorquera,521,0743-1,-1.7189485,39.28099513,Mapa,708,MDT5
2055000000,1020557,2540,2,Albacete,Nerpio,1277,43578.1242,98049,2055000901,Nerpio,718,0909-2,-2.30224029,38.14824043,Mapa,1085,MDT5
2056000000,1020560,2550,2,Albacete,Ontur,2072,5438.1594,30462,2056000101,Ontur,2072,0844-1,-1.49888166,38.61472661,Mapa,653,MDT5
2057000000,1020576,2560,2,Albacete,Ossa de Montiel,2411,24350.2479,69150,2057000201,Ossa de Montiel,2332,0788-1,-2.74272664,38.96201035,Mapa,898,MDT5
2058000000,1020582,2570,2,Albacete,Paterna del Madera,359,11233.8382,53946,2058000601,Paterna del Madera,294,0841-2,-2.34555766,38.59729435,Mapa,1126,MDT5
2059000000,1020595,2590,2,Albacete,Peñascosa,328,18925.8047,106221,2059000501,Peñascosa,198,0815-3,-2.41040499,38.67153536,Mapa,1169,MDT5
2060000000,1020609,2580,2,Albacete,Peñas de San Pedro,1436,15872.36,73286,2060000701,Peñas de San Pedro,1037,0816-4,-2.00212787,38.72688881,Mapa,1010,MDT5
2061000000,1020616,2600,2,Albacete,Pétrola,719,7460.7346,40804,2061000201,Pétrola,568,0817-2,-1.55549981,38.82629814,Mapa,870,MDT5
2062000000,1020621,2610,2,Albacete,Povedilla,452,4942.7325,35557,2062000101,Povedilla,435,0814-4,-2.60393627,38.70163971,Mapa,872,MDT5
2063000000,1020637,2630,2,Albacete,Pozohondo,1653,13648.62,49358,2063000501,Pozohondo,1064,0816-4,-1.91133356,38.721122,Mapa,871,MDT5
2064000000,1020642,2620,2,Albacete,Pozo-Lorente,414,8095.5291,36474,2064000101,Pozo-Lorente,414,0767-3,-1.50647855,39.07663024,Mapa,769,MDT5
2065000000,1020655,2640,2,Albacete,Pozuelo,514,13397.79,48394,2065000201,Pozuelo,479,0816-1,-2.10117384,38.80969625,Mapa,845,MDT5
2066000000,1020668,2650,2,Albacete,La Recueja,260,2973.9107,39019,2066000101,La Recueja,260,0744-3,-1.48988779,39.17688319,Mapa,542,MDT5
2067000000,1020674,2660,2,Albacete,Riópar,1391,8092005,55582,2067000401,Riópar,1197,0841-3,-2.41839311,38.4998099,Mapa,1126,MDT5
2068000000,1020680,2670,2,Albacete,Robledo,366,12008.4392,51626,2068000301,Robledo,225,0815-1,-2.44882682,38.75778452,Mapa,1041,MDT5
2069000000,1020693,2680,2,Albacete,La Roda,15603,39889.13,127688,2069000101,La Roda,15512,0742-3,-2.15924796,39.20706504,Mapa,708,MDT5
2070000000,1020707,2690,2,Albacete,Salobre,523,4952.8648,39261,2070000201,Salobre,350,0840-2,-2.55057256,38.59195258,Mapa,920,MDT5
2071000000,1020714,2700,2,Albacete,San Pedro,1179,8311597,37014,2071000401,San Pedro,1083,0816-1,-2.186211,38.82654004,Mapa,844,MDT5
2072000000,1020729,2710,2,Albacete,Socovos,1788,13860.6617,64917,2072000401,Socovos,1162,0889-2,-1.98469065,38.33202632,Mapa,734,MDT5
2073000000,1020735,2720,2,Albacete,Tarazona de la Mancha,6363,21268.09,67722,2073000101,Tarazona de la Mancha,6342,0742-2,-1.91280979,39.26539647,Mapa,713,MDT5
2074000000,1020740,2730,2,Albacete,Tobarra,7754,32464.95,79846,2074000601,Tobarra,6778,0843-1,-1.69282296,38.5922733,Mapa,652,MDT5
2075000000,1020753,2740,2,Albacete,Valdeganga,1958,7065.62,42767,2075000102,Valdeganga,1946,0766-2,-1.67646922,39.13545152,Mapa,667,MDT5
2076000000,1020766,2750,2,Albacete,Vianos,359,12803519,91378,2076000102,Vianos,356,0841-1,-2.50149079,38.632307,Mapa,1118,MDT5
2077000000,1020772,2760,2,Albacete,Villa de Ves,59,5753568,35387,2077000101,Villa de Ves,45,0744-4,-1.25897631,39.22231541,Mapa,744,MDT5
2078000000,1020788,2770,2,Albacete,Villalgordo del Júcar,1125,4668.4938,32688,2078000101,Villalgordo del Júcar,1102,0742-1,-2.06309183,39.29598679,Mapa,683,MDT5
2079000000,1020791,2780,2,Albacete,Villamalea,4124,12799.1093,63499,2079000103,Villamalea,4116,0718-4,-1.59908353,39.36160785,Mapa,739,MDT5
2080000000,1020805,2790,2,Albacete,Villapalacios,594,8747.7445,41446,2080000101,Villapalacios,593,0840-4,-2.63505947,38.57467359,Mapa,837,MDT5
2081000000,1020812,2800,2,Albacete,Villarrobledo,25317,86240.7816,140710,2081000301,Villarrobledo,25111,0740-2,-2.60714311,39.26755792,Mapa,728,MDT5
2082000000,1020827,2810,2,Albacete,Villatoya,107,1882.3517,21678,2082000201,Villatoya,77,0744-2,-1.33858599,39.33385264,Mapa,409,MDT5
2083000000,1020833,2820,2,Albacete,Villavaliente,219,3484.1712,30502,2083000101,Villavaliente,219,0767-1,-1.45799642,39.12645758,Mapa,726,MDT5
2084000000,1020848,2830,2,Albacete,Villaverde de Guadalimar,349,6907.9679,39421,2084000501,Villaverde de Guadalimar,218,0866-1,-2.5176095,38.45619162,Mapa,789,MDT5
2085000000,1020851,2840,2,Albacete,Viveros,338,6536.6666,45479,2085000101,Viveros,338,0814-2,-2.57590915,38.77363475,Mapa,1012,MDT5
2086000000,1020864,2850,2,Albacete,Yeste,2742,51122.0829,120663,2086001401,Yeste,1449,0866-4,-2.31903072,38.36643865,Mapa,878,MDT5
2901000000,1029010,2615,2,Albacete,Pozo Cañada,2800,11683.38,69208,2901000101,Pozo Cañada,2765,0817-1,-1.73622317,38.801361,Mapa,830,MDT5
3001000000,1030015,3005,3,Alacant/Alicante,l'Atzúbia,664,1466.9574,18376,3001000101,l'Atzúbia,375,0796-3,-0.15173035,38.84743029,Mapa,99,MDT5
3002000000,1030020,3010,3,Alacant/Alicante,Agost,4703,6663.5352,40007,3002000101,Agost,4033,0871-2,-0.63891979,38.43949316,Mapa,331,MDT5
3003000000,1030036,3015,3,Alacant/Alicante,Agres,549,2583659,20529,3003000101,Agres,437,0821-1,-0.51595543,38.78000404,Mapa,719,MDT5
3004000000,1030041,3020,3,Alacant/Alicante,Aigües,913,1847.2816,20622,3004000101,Aigües,604,0872-1,-0.36258669,38.49887092,Mapa,332,MDT5
3005000000,1030054,3025,3,Alacant/Alicante,Albatera,11850,6154.27,34605,3005000101,Albatera,11161,0892-4,-0.86792141,38.17894636,Mapa,15,MDT5
3006000000,1030067,3030,3,Alacant/Alicante,Alcalalí,1276,1439.7787,21582,3006000101,Alcalalí,382,0822-3,-0.04160798,38.74965349,Mapa,226,MDT5
3007000000,1030073,3035,3,Alacant/Alicante,Alcocer de Planes,230,438.7155,9164,3007000101,Alcocer de Planes,122,0821-1,-0.40197036,38.79447224,Mapa,345,MDT5
3008000000,1030089,3040,3,Alacant/Alicante,Alcoleja,185,1455.8836,19193,3008000101,Alcoleja,168,0821-4,-0.33100925,38.67548564,Mapa,735,MDT5
3009000000,1030092,3045,3,Alacant/Alicante,Alcoy/Alcoi,59106,12986.0503,58858,3009000101,Alcoy/Alcoi,57595,0821-3,-0.47318376,38.69836894,Mapa,561,MDT5
3010000000,1030106,3050,3,Alacant/Alicante,Alfafara,405,1977.7677,18603,3010000101,Alfafara,382,0820-2,-0.55552339,38.77274828,Mapa,580,MDT5
3011000000,1030113,3055,3,Alacant/Alicante,l'Alfàs del Pi,18394,1925.9507,20927,3011000102,l'Alfàs del Pi,5316,0848-3,-0.1026002,38.58009496,Mapa,89,MDT5
3012000000,1030128,3060,3,Alacant/Alicante,Algorfa,2761,1835.6476,29212,3012000101,Algorfa,1501,0914-1,-0.79568423,38.08681637,Mapa,23,MDT5
3013000000,1030134,3065,3,Alacant/Alicante,Algueña,1372,1843.3139,29544,3013000101,Algueña,1289,0870-4,-1.00303745,38.33800138,Mapa,530,MDT5
3014000000,1030149,3001,3,Alacant/Alicante,Alicante/Alacant,329988,20126.5845,138902,3014000201,Alicante/Alacant,318397,0872-3,-0.4831832,38.34548705,Mapa,5,MDT5
3015000000,1030152,3070,3,Alacant/Alicante,Almoradí,20332,4272.4031,53442,3015000101,Almoradí,18040,0914-1,-0.79201713,38.10977991,Mapa,10,MDT5
3016000000,1030165,3075,3,Alacant/Alicante,Almudaina,113,882.0194,12317,3016000101,Almudaina,108,0821-1,-0.35370678,38.76155764,Mapa,570,MDT5
3017000000,1030171,3080,3,Alacant/Alicante,l'Alqueria d'Asnar,496,108.3702,9555,3017000101,l'Alqueria d'Asnar,478,0821-1,-0.42552267,38.77311802,Mapa,363,MDT5
3018000000,1030187,3085,3,Alacant/Alicante,Altea,21813,3442.7986,30970,3018000102,Altea,14676,0848-1,-0.05144236,38.59892497,Mapa,60,MDT5
3019000000,1030190,3090,3,Alacant/Alicante,Aspe,20425,7057.09,38464,3019000101,Aspe,18531,0871-3,-0.76849107,38.34577266,Mapa,234,MDT5
3020000000,1030204,3095,3,Alacant/Alicante,Balones,128,1125,17176,3020000101,Balones,118,0821-4,-0.34237388,38.73701039,Mapa,670,MDT5
